Partido
[[arsenal,fulham],7,viernes,18]
[[chelsea,newcastle],7,sabado,14]
[[brighton,man_city],7,viernes,21]
[[leicester_city,west_ham],19,domingo,14]
[[brighton,bournemouth],19,sabado,15]
[[fulham,wolves],19,viernes,16]
[[crystal_palace,leeds_united],19,sabado,20]
[[tottenham,man_city],19,viernes,22]
[[arsenal,brentford],19,sabado,17]
[[chelsea,liverpool],19,domingo,18]
[[everton,southampton],19,sabado,22]
[[man_united,aston_villa],19,viernes,18]
[[newcastle,nottm_forest],19,domingo,15]
[[leicester_city,chelsea],14,domingo,17]
[[aston_villa,man_city],14,domingo,15]
[[bournemouth,wolves],14,sabado,21]
[[nottm_forest,everton],14,sabado,22]
[[brentford,newcastle],14,domingo,21]
[[fulham,leeds_united],14,viernes,18]
[[crystal_palace,brighton],14,sabado,17]
[[arsenal,southampton],14,sabado,15]
[[tottenham,liverpool],14,domingo,16]
[[fulham,brentford],11,domingo,20]
[[nottm_forest,liverpool],11,sabado,21]
[[tottenham,arsenal],11,domingo,15]
[[leeds_united,brighton],11,domingo,16]
[[newcastle,southampton],11,viernes,15]
[[everton,crystal_palace],11,sabado,17]
[[bournemouth,everton],5,domingo,17]
[[liverpool,brentford],5,viernes,18]
[[west_ham,fulham],5,domingo,21]
[[aston_villa,tottenham],5,sabado,17]
[[southampton,nottm_forest],5,sabado,15]
[[man_united,wolves],5,viernes,16]
[[leicester_city,arsenal],5,domingo,22]
[[man_city,leeds_united],5,domingo,14]
[[newcastle,crystal_palace],5,domingo,20]
[[brighton,chelsea],5,sabado,22]
[[crystal_palace,fulham],8,viernes,22]
[[man_united,brighton],8,sabado,19]
[[leeds_united,arsenal],8,sabado,14]
[[aston_villa,bournemouth],8,sabado,21]
[[nottm_forest,west_ham],8,domingo,15]
[[everton,tottenham],8,domingo,20]
[[man_city,brentford],8,sabado,18]
[[liverpool,newcastle],8,domingo,19]
[[wolves,chelsea],8,sabado,17]
[[southampton,leicester_city],8,sabado,15]
[[aston_villa,arsenal],17,sabado,22]
[[man_united,leeds_united],17,viernes,18]
[[nottm_forest,bournemouth],17,domingo,22]
[[leicester_city,newcastle],17,sabado,20]
[[brighton,liverpool],17,viernes,22]
[[brentford,crystal_palace],17,domingo,17]
[[chelsea,west_ham],17,domingo,19]
[[everton,man_city],17,sabado,21]
[[wolves,tottenham],17,domingo,18]
