X = [[fulham, west_ham], 12, viernes, 22] ;
X = [[man_united, everton], 12, domingo, 16] ;
X = [[aston_villa, fulham], 13, viernes, 19] ;
X = [[wolves, arsenal], 13, sabado, 18] ;
X = [[leicester_city, brighton], 13, sabado, 17] ;
X = [[chelsea, southampton], 13, viernes, 19] ;
X = [[west_ham, tottenham], 13, domingo, 19] ;
X = [[crystal_palace, brentford], 13, viernes, 22] ;
X = [[man_united, leeds_united], 13, sabado, 20] ;
X = [[nottm_forest, liverpool], 13, viernes, 21] ;
X = [[everton, bournemouth], 13, sabado, 20] ;
X = [[newcastle, man_city], 13, sabado, 20] ;
X = [[brighton, crystal_palace], 14, sabado, 21] ;
X = [[arsenal, brentford], 14, domingo, 17] ;
X = [[leicester_city, wolves], 14, domingo, 18] ;
X = [[aston_villa, man_united], 14, domingo, 22] ;
X = [[man_city, fulham], 14, viernes, 18] ;
X = [[tottenham, chelsea], 14, domingo, 17] ;
X = [[southampton, liverpool], 14, domingo, 17] ;
X = [[leeds_united, everton], 14, domingo, 19] ;
X = [[west_ham, nottm_forest], 14, domingo, 22] ;
X = [[bournemouth, newcastle], 14, sabado, 18] ;
X = [[brentford, southampton], 15, viernes, 14] ;
X = [[everton, wolves], 15, sabado, 14] ;
X = [[aston_villa, leeds_united], 15, sabado, 16] ;
X = [[man_united, chelsea], 15, domingo, 19] ;
X = [[leicester_city, west_ham], 15, viernes, 15] ;
X = [[man_city, tottenham], 15, viernes, 20] ;
X = [[crystal_palace, nottm_forest], 15, domingo, 19] ;
X = [[bournemouth, liverpool], 15, domingo, 18] ;
X = [[brighton, newcastle], 15, sabado, 19] ;
X = [[fulham, arsenal], 15, sabado, 22] ;
X = [[nottm_forest, man_united], 16, viernes, 22] ;
X = [[bournemouth, aston_villa], 16, viernes, 14] ;
X = [[brighton, man_city], 16, sabado, 18] ;
X = [[southampton, west_ham], 16, viernes, 18] ;
X = [[everton, crystal_palace], 16, domingo, 15] ;
X = [[leeds_united, chelsea], 16, sabado, 21] ;
X = [[newcastle, tottenham], 16, sabado, 17] ;
X = [[liverpool, brentford], 16, viernes, 14] ;
X = [[fulham, wolves], 16, viernes, 15] ;
X = [[arsenal, leicester_city], 16, viernes, 22] ;
X = [[chelsea, everton], 17, domingo, 19] ;
X = [[tottenham, liverpool], 17, viernes, 15] ;
X = [[arsenal, nottm_forest], 17, domingo, 19] ;
X = [[leicester_city, aston_villa], 17, domingo, 22] ;
X = [[newcastle, fulham], 17, domingo, 16] ;
X = [[bournemouth, brighton], 17, domingo, 18] ;
X = [[west_ham, crystal_palace], 17, sabado, 18] ;
X = [[leeds_united, brentford], 17, viernes, 15] ;
X = [[man_united, southampton], 17, viernes, 21] ;
X = [[wolves, man_city], 17, domingo, 22] ;
X = [[everton, aston_villa], 18, viernes, 18] ;
X = [[liverpool, wolves], 18, sabado, 15] ;
X = [[fulham, leeds_united], 18, viernes, 14] ;
X = [[brentford, west_ham], 18, sabado, 20] ;
X = [[arsenal, southampton], 18, domingo, 19] ;
X = [[chelsea, crystal_palace], 18, viernes, 16] ;
X = [[leicester_city, newcastle], 18, viernes, 22] ;
X = [[nottm_forest, brighton], 18, sabado, 20] ;
X = [[tottenham, man_united], 18, sabado, 22] ;
X = [[bournemouth, man_city], 18, sabado, 19] ;
