X = [[crystal_palace, brighton], 12, domingo, 15] ;
X = [[crystal_palace, nottm_forest], 13, sabado, 14] ;
X = [[chelsea, arsenal], 13, domingo, 15] ;
X = [[man_united, southampton], 13, domingo, 18] ;
X = [[newcastle, leeds_united], 13, domingo, 14] ;
X = [[tottenham, everton], 13, sabado, 14] ;
X = [[fulham, west_ham], 13, sabado, 19] ;
X = [[bournemouth, liverpool], 13, domingo, 15] ;
X = [[man_city, wolves], 13, sabado, 17] ;
X = [[brighton, leicester_city], 13, sabado, 20] ;
X = [[aston_villa, brentford], 13, domingo, 22] ;
X = [[wolves, arsenal], 14, sabado, 19] ;
X = [[leicester_city, west_ham], 14, viernes, 19] ;
X = [[brighton, nottm_forest], 14, domingo, 21] ;
X = [[everton, aston_villa], 14, viernes, 15] ;
X = [[liverpool, brentford], 14, domingo, 16] ;
X = [[newcastle, bournemouth], 14, sabado, 16] ;
X = [[fulham, tottenham], 14, viernes, 20] ;
X = [[man_city, southampton], 14, viernes, 18] ;
X = [[leeds_united, crystal_palace], 14, sabado, 22] ;
X = [[chelsea, man_united], 14, viernes, 20] ;
X = [[leeds_united, everton], 15, viernes, 14] ;
X = [[west_ham, wolves], 15, domingo, 18] ;
X = [[nottm_forest, aston_villa], 15, viernes, 17] ;
X = [[fulham, bournemouth], 15, sabado, 21] ;
X = [[brentford, arsenal], 15, sabado, 21] ;
X = [[crystal_palace, man_city], 15, sabado, 16] ;
X = [[southampton, chelsea], 15, viernes, 18] ;
X = [[brighton, liverpool], 15, viernes, 21] ;
X = [[leicester_city, man_united], 15, domingo, 18] ;
X = [[tottenham, newcastle], 15, domingo, 22] ;
X = [[man_united, wolves], 16, viernes, 18] ;
X = [[tottenham, west_ham], 16, viernes, 21] ;
X = [[chelsea, everton], 16, viernes, 22] ;
X = [[southampton, arsenal], 16, viernes, 19] ;
X = [[liverpool, aston_villa], 16, viernes, 22] ;
X = [[crystal_palace, leicester_city], 16, viernes, 22] ;
X = [[nottm_forest, man_city], 16, domingo, 20] ;
X = [[brentford, bournemouth], 16, viernes, 15] ;
X = [[newcastle, fulham], 16, domingo, 17] ;
X = [[brighton, leeds_united], 16, viernes, 16] ;
X = [[arsenal, fulham], 17, viernes, 21] ;
X = [[wolves, nottm_forest], 17, viernes, 14] ;
X = [[west_ham, liverpool], 17, sabado, 18] ;
X = [[everton, leicester_city], 17, domingo, 14] ;
X = [[southampton, leeds_united], 17, sabado, 15] ;
X = [[aston_villa, newcastle], 17, viernes, 22] ;
X = [[man_united, man_city], 17, domingo, 20] ;
X = [[bournemouth, tottenham], 17, sabado, 19] ;
X = [[brentford, crystal_palace], 17, domingo, 16] ;
X = [[brighton, chelsea], 17, sabado, 16] ;
X = [[aston_villa, west_ham], 18, viernes, 19] ;
X = [[arsenal, brighton], 18, viernes, 21] ;
X = [[wolves, newcastle], 18, domingo, 16] ;
X = [[fulham, chelsea], 18, viernes, 21] ;
X = [[bournemouth, southampton], 18, viernes, 20] ;
X = [[man_city, leicester_city], 18, viernes, 20] ;
X = [[nottm_forest, tottenham], 18, domingo, 18] ;
